                               Labor Force Data by County, 2022 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN1802500000000   18     025   Crawford County, IN                               2022         4,793        4,622        171      3.6
CN1802700000000   18     027   Daviess County, IN                                2022        16,608       16,219        389      2.3
CN1802900000000   18     029   Dearborn County, IN                               2022        25,802       25,112        690      2.7
CN1803100000000   18     031   Decatur County, IN                                2022        14,478       14,099        379      2.6
CN1803300000000   18     033   DeKalb County, IN                                 2022        22,316       21,713        603      2.7
CN1803500000000   18     035   Delaware County, IN                               2022        50,967       49,121      1,846      3.6
CN1803700000000   18     037   Dubois County, IN                                 2022        21,833       21,335        498      2.3
CN1803900000000   18     039   Elkhart County, IN                                2022       117,325      114,309      3,016      2.6
CN1804100000000   18     041   Fayette County, IN                                2022         8,316        7,942        374      4.5
CN1804300000000   18     043   Floyd County, IN                                  2022        42,122       41,057      1,065      2.5
CN1804500000000   18     045   Fountain County, IN                               2022         7,958        7,734        224      2.8
CN1804700000000   18     047   Franklin County, IN                               2022        11,275       10,968        307      2.7
CN1804900000000   18     049   Fulton County, IN                                 2022         9,494        9,199        295      3.1
CN1805100000000   18     051   Gibson County, IN                                 2022        19,762       19,307        455      2.3
CN1805300000000   18     053   Grant County, IN                                  2022        31,378       30,332      1,046      3.3
CN1805500000000   18     055   Greene County, IN                                 2022        13,508       12,983        525      3.9
CN1805700000000   18     057   Hamilton County, IN                               2022       193,855      189,632      4,223      2.2
CN1805900000000   18     059   Hancock County, IN                                2022        42,473       41,356      1,117      2.6
CN1806100000000   18     061   Harrison County, IN                               2022        20,406       19,886        520      2.5
CN1806300000000   18     063   Hendricks County, IN                              2022        94,458       92,134      2,324      2.5
CN1806500000000   18     065   Henry County, IN                                  2022        22,073       21,361        712      3.2
CN1806700000000   18     067   Howard County, IN                                 2022        33,950       32,246      1,704      5.0
CN1806900000000   18     069   Huntington County, IN                             2022        18,285       17,791        494      2.7
CN1807100000000   18     071   Jackson County, IN                                2022        23,405       22,749        656      2.8
CN1807300000000   18     073   Jasper County, IN                                 2022        15,859       15,322        537      3.4
CN1807500000000   18     075   Jay County, IN                                    2022         8,840        8,598        242      2.7
CN1807700000000   18     077   Jefferson County, IN                              2022        15,000       14,573        427      2.8
CN1807900000000   18     079   Jennings County, IN                               2022        13,534       13,083        451      3.3
CN1808100000000   18     081   Johnson County, IN                                2022        86,284       84,183      2,101      2.4
CN1808300000000   18     083   Knox County, IN                                   2022        17,983       17,494        489      2.7
CN1808500000000   18     085   Kosciusko County, IN                              2022        40,564       39,520      1,044      2.6
CN1808700000000   18     087   LaGrange County, IN                               2022        21,442       20,970        472      2.2
CN1808900000000   18     089   Lake County, IN                                   2022       226,746      216,160     10,586      4.7
CN1809100000000   18     091   LaPorte County, IN                                2022        46,784       45,021      1,763      3.8
CN1809300000000   18     093   Lawrence County, IN                               2022        20,524       19,820        704      3.4
CN1809500000000   18     095   Madison County, IN                                2022        59,833       57,800      2,033      3.4
CN1809700000000   18     097   Marion County, IN                                 2022       504,140      487,842     16,298      3.2
CN1809900000000   18     099   Marshall County, IN                               2022        22,943       22,342        601      2.6
CN1810100000000   18     101   Martin County, IN                                 2022         5,425        5,274        151      2.8
CN1810300000000   18     103   Miami County, IN                                  2022        14,358       13,762        596      4.2
CN1810500000000   18     105   Monroe County, IN                                 2022        70,162       68,140      2,022      2.9
CN1810700000000   18     107   Montgomery County, IN                             2022        18,819       18,338        481      2.6
CN1810900000000   18     109   Morgan County, IN                                 2022        37,147       36,091      1,056      2.8
CN1811100000000   18     111   Newton County, IN                                 2022         6,735        6,487        248      3.7
CN1811300000000   18     113   Noble County, IN                                  2022        21,792       21,163        629      2.9
CN1811500000000   18     115   Ohio County, IN                                   2022         3,187        3,116         71      2.2
CN1811700000000   18     117   Orange County, IN                                 2022         8,194        7,909        285      3.5
CN1811900000000   18     119   Owen County, IN                                   2022         9,265        8,962        303      3.3
CN1812100000000   18     121   Parke County, IN                                  2022         7,062        6,844        218      3.1
CN1812300000000   18     123   Perry County, IN                                  2022         8,760        8,485        275      3.1
CN1812500000000   18     125   Pike County, IN                                   2022         5,873        5,683        190      3.2
CN1812700000000   18     127   Porter County, IN                                 2022        85,433       82,584      2,849      3.3
CN1812900000000   18     129   Posey County, IN                                  2022        12,948       12,635        313      2.4
CN1813100000000   18     131   Pulaski County, IN                                2022         6,543        6,371        172      2.6
CN1813300000000   18     133   Putnam County, IN                                 2022        16,819       16,289        530      3.2
CN1813500000000   18     135   Randolph County, IN                               2022        11,624       11,274        350      3.0
CN1813700000000   18     137   Ripley County, IN                                 2022        12,808       12,411        397      3.1
CN1813900000000   18     139   Rush County, IN                                   2022         8,869        8,646        223      2.5
CN1814100000000   18     141   St. Joseph County, IN                             2022       132,073      127,495      4,578      3.5
CN1814300000000   18     143   Scott County, IN                                  2022        10,531       10,170        361      3.4
CN1814500000000   18     145   Shelby County, IN                                 2022        23,545       22,948        597      2.5
CN1814700000000   18     147   Spencer County, IN                                2022        10,483       10,201        282      2.7
CN1814900000000   18     149   Starke County, IN                                 2022         9,530        9,164        366      3.8
CN1815100000000   18     151   Steuben County, IN                                2022        20,697       20,244        453      2.2
CN1815300000000   18     153   Sullivan County, IN                               2022         7,931        7,625        306      3.9
CN1815500000000   18     155   Switzerland County, IN                            2022         4,716        4,582        134      2.8
CN1815700000000   18     157   Tippecanoe County, IN                             2022        96,898       94,095      2,803      2.9
CN1815900000000   18     159   Tipton County, IN                                 2022         8,981        8,722        259      2.9
CN1816100000000   18     161   Union County, IN                                  2022         3,567        3,478         89      2.5
CN1816300000000   18     163   Vanderburgh County, IN                            2022        91,922       89,072      2,850      3.1
CN1816500000000   18     165   Vermillion County, IN                             2022         6,534        6,291        243      3.7
CN1816700000000   18     167   Vigo County, IN                                   2022        45,594       43,935      1,659      3.6
CN1816900000000   18     169   Wabash County, IN                                 2022        14,524       14,120        404      2.8
CN1817100000000   18     171   Warren County, IN                                 2022         4,102        3,995        107      2.6
CN1817300000000   18     173   Warrick County, IN                                2022        32,210       31,359        851      2.6
CN1817500000000   18     175   Washington County, IN                             2022        13,746       13,374        372      2.7
CN1817700000000   18     177   Wayne County, IN                                  2022        29,783       28,843        940      3.2
CN1817900000000   18     179   Wells County, IN                                  2022        14,240       13,905        335      2.4
CN1818100000000   18     181   White County, IN                                  2022        13,273       12,934        339      2.6
CN1818300000000   18     183   Whitley County, IN                                2022        17,738       17,301        437      2.5
CN1900100000000   19     001   Adair County, IA                                  2022         4,317        4,223         94      2.2
CN1900300000000   19     003   Adams County, IA                                  2022         2,101        2,058         43      2.0
CN1900500000000   19     005   Allamakee County, IA                              2022         7,092        6,818        274      3.9
CN1900700000000   19     007   Appanoose County, IA                              2022         5,973        5,795        178      3.0
CN1900900000000   19     009   Audubon County, IA                                2022         3,085        3,014         71      2.3
CN1901100000000   19     011   Benton County, IA                                 2022        13,104       12,698        406      3.1
CN1901300000000   19     013   Black Hawk County, IA                             2022        67,499       65,462      2,037      3.0
CN1901500000000   19     015   Boone County, IA                                  2022        14,840       14,494        346      2.3
CN1901700000000   19     017   Bremer County, IA                                 2022        13,930       13,598        332      2.4
CN1901900000000   19     019   Buchanan County, IA                               2022        11,250       10,927        323      2.9
CN1902100000000   19     021   Buena Vista County, IA                            2022        11,905       11,621        284      2.4
CN1902300000000   19     023   Butler County, IA                                 2022         8,189        7,954        235      2.9
CN1902500000000   19     025   Calhoun County, IA                                2022         4,147        4,038        109      2.6
CN1902700000000   19     027   Carroll County, IA                                2022        10,700       10,482        218      2.0
CN1902900000000   19     029   Cass County, IA                                   2022         6,826        6,651        175      2.6
CN1903100000000   19     031   Cedar County, IA                                  2022        10,483       10,196        287      2.7
CN1903300000000   19     033   Cerro Gordo County, IA                            2022        22,259       21,620        639      2.9
CN1903500000000   19     035   Cherokee County, IA                               2022         6,112        5,968        144      2.4
CN1903700000000   19     037   Chickasaw County, IA                              2022         6,545        6,375        170      2.6
CN1903900000000   19     039   Clarke County, IA                                 2022         4,958        4,809        149      3.0
CN1904100000000   19     041   Clay County, IA                                   2022         8,538        8,301        237      2.8
CN1904300000000   19     043   Clayton County, IA                                2022         9,546        9,171        375      3.9
CN1904500000000   19     045   Clinton County, IA                                2022        22,148       21,352        796      3.6
CN1904700000000   19     047   Crawford County, IA                               2022         7,793        7,467        326      4.2
CN1904900000000   19     049   Dallas County, IA                                 2022        53,951       52,836      1,115      2.1
CN1905100000000   19     051   Davis County, IA                                  2022         4,289        4,182        107      2.5
CN1905300000000   19     053   Decatur County, IA                                2022         4,376        4,268        108      2.5
CN1905500000000   19     055   Delaware County, IA                               2022        10,491       10,242        249      2.4
CN1905700000000   19     057   Des Moines County, IA                             2022        18,370       17,583        787      4.3
CN1905900000000   19     059   Dickinson County, IA                              2022        10,739       10,433        306      2.8
CN1906100000000   19     061   Dubuque County, IA                                2022        56,127       54,482      1,645      2.9
CN1906300000000   19     063   Emmet County, IA                                  2022         4,907        4,762        145      3.0
CN1906500000000   19     065   Fayette County, IA                                2022        10,448       10,113        335      3.2
CN1906700000000   19     067   Floyd County, IA                                  2022         8,310        8,059        251      3.0
CN1906900000000   19     069   Franklin County, IA                               2022         5,599        5,452        147      2.6
CN1907100000000   19     071   Fremont County, IA                                2022         3,717        3,625         92      2.5
CN1907300000000   19     073   Greene County, IA                                 2022         5,377        5,262        115      2.1
CN1907500000000   19     075   Grundy County, IA                                 2022         6,371        6,206        165      2.6
CN1907700000000   19     077   Guthrie County, IA                                2022         5,639        5,476        163      2.9
CN1907900000000   19     079   Hamilton County, IA                               2022         6,950        6,752        198      2.8
CN1908100000000   19     081   Hancock County, IA                                2022         5,728        5,592        136      2.4
CN1908300000000   19     083   Hardin County, IA                                 2022         7,819        7,580        239      3.1
CN1908500000000   19     085   Harrison County, IA                               2022         7,114        6,918        196      2.8
CN1908700000000   19     087   Henry County, IA                                  2022         9,593        9,309        284      3.0
CN1908900000000   19     089   Howard County, IA                                 2022         5,242        5,074        168      3.2
CN1909100000000   19     091   Humboldt County, IA                               2022         4,927        4,803        124      2.5
CN1909300000000   19     093   Ida County, IA                                    2022         3,972        3,881         91      2.3
CN1909500000000   19     095   Iowa County, IA                                   2022         9,787        9,535        252      2.6
CN1909700000000   19     097   Jackson County, IA                                2022        10,673       10,321        352      3.3
CN1909900000000   19     099   Jasper County, IA                                 2022        18,561       17,983        578      3.1
CN1910100000000   19     101   Jefferson County, IA                              2022        10,365       10,109        256      2.5
CN1910300000000   19     103   Johnson County, IA                                2022        86,408       84,386      2,022      2.3
CN1910500000000   19     105   Jones County, IA                                  2022        10,385       10,044        341      3.3
CN1910700000000   19     107   Keokuk County, IA                                 2022         5,192        5,031        161      3.1
CN1910900000000   19     109   Kossuth County, IA                                2022         8,289        8,093        196      2.4
CN1911100000000   19     111   Lee County, IA                                    2022        14,890       14,193        697      4.7
CN1911300000000   19     113   Linn County, IA                                   2022       120,784      116,971      3,813      3.2
CN1911500000000   19     115   Louisa County, IA                                 2022         5,901        5,713        188      3.2
CN1911700000000   19     117   Lucas County, IA                                  2022         4,630        4,527        103      2.2
CN1911900000000   19     119   Lyon County, IA                                   2022         7,078        6,946        132      1.9
CN1912100000000   19     121   Madison County, IA                                2022         8,767        8,486        281      3.2
CN1912300000000   19     123   Mahaska County, IA                                2022        12,327       12,020        307      2.5
CN1912500000000   19     125   Marion County, IA                                 2022        19,129       18,720        409      2.1
CN1912700000000   19     127   Marshall County, IA                               2022        17,356       16,420        936      5.4
CN1912900000000   19     129   Mills County, IA                                  2022         7,091        6,922        169      2.4
CN1913100000000   19     131   Mitchell County, IA                               2022         5,858        5,733        125      2.1
CN1913300000000   19     133   Monona County, IA                                 2022         4,432        4,302        130      2.9
CN1913500000000   19     135   Monroe County, IA                                 2022         4,067        3,951        116      2.9
CN1913700000000   19     137   Montgomery County, IA                             2022         4,995        4,869        126      2.5
CN1913900000000   19     139   Muscatine County, IA                              2022        20,985       20,341        644      3.1
CN1914100000000   19     141   O'Brien County, IA                                2022         8,152        7,971        181      2.2
CN1914300000000   19     143   Osceola County, IA                                2022         3,610        3,544         66      1.8
CN1914500000000   19     145   Page County, IA                                   2022         6,459        6,296        163      2.5
CN1914700000000   19     147   Palo Alto County, IA                              2022         4,512        4,395        117      2.6
CN1914900000000   19     149   Plymouth County, IA                               2022        14,787       14,468        319      2.2
CN1915100000000   19     151   Pocahontas County, IA                             2022         4,233        4,139         94      2.2
CN1915300000000   19     153   Polk County, IA                                   2022       276,399      268,724      7,675      2.8
CN1915500000000   19     155   Pottawattamie County, IA                          2022        47,609       46,252      1,357      2.9
CN1915700000000   19     157   Poweshiek County, IA                              2022        10,239        9,949        290      2.8
CN1915900000000   19     159   Ringgold County, IA                               2022         2,365        2,310         55      2.3
CN1916100000000   19     161   Sac County, IA                                    2022         5,277        5,145        132      2.5
CN1916300000000   19     163   Scott County, IA                                  2022        88,315       85,390      2,925      3.3
CN1916500000000   19     165   Shelby County, IA                                 2022         6,441        6,293        148      2.3
CN1916700000000   19     167   Sioux County, IA                                  2022        22,783       22,353        430      1.9
CN1916900000000   19     169   Story County, IA                                  2022        59,305       58,067      1,238      2.1
CN1917100000000   19     171   Tama County, IA                                   2022         9,181        8,872        309      3.4
CN1917300000000   19     173   Taylor County, IA                                 2022         3,137        3,073         64      2.0
CN1917500000000   19     175   Union County, IA                                  2022         6,067        5,895        172      2.8
CN1917700000000   19     177   Van Buren County, IA                              2022         3,706        3,599        107      2.9
CN1917900000000   19     179   Wapello County, IA                                2022        16,876       16,311        565      3.3
CN1918100000000   19     181   Warren County, IA                                 2022        29,315       28,579        736      2.5
CN1918300000000   19     183   Washington County, IA                             2022        11,710       11,398        312      2.7
CN1918500000000   19     185   Wayne County, IA                                  2022         2,915        2,838         77      2.6
CN1918700000000   19     187   Webster County, IA                                2022        18,741       18,162        579      3.1
CN1918900000000   19     189   Winnebago County, IA                              2022         5,011        4,872        139      2.8
CN1919100000000   19     191   Winneshiek County, IA                             2022        11,453       11,086        367      3.2
CN1919300000000   19     193   Woodbury County, IA                               2022        55,989       54,405      1,584      2.8
CN1919500000000   19     195   Worth County, IA                                  2022         3,999        3,889        110      2.8
CN1919700000000   19     197   Wright County, IA                                 2022         6,564        6,390        174      2.7
CN2000100000000   20     001   Allen County, KS                                  2022         6,306        6,127        179      2.8
CN2000300000000   20     003   Anderson County, KS                               2022         4,358        4,260         98      2.2
CN2000500000000   20     005   Atchison County, KS                               2022         6,789        6,555        234      3.4
CN2000700000000   20     007   Barber County, KS                                 2022         2,281        2,235         46      2.0
CN2000900000000   20     009   Barton County, KS                                 2022        13,116       12,775        341      2.6
CN2001100000000   20     011   Bourbon County, KS                                2022         6,255        6,039        216      3.5
CN2001300000000   20     013   Brown County, KS                                  2022         5,059        4,941        118      2.3
CN2001500000000   20     015   Butler County, KS                                 2022        32,661       31,763        898      2.7
CN2001700000000   20     017   Chase County, KS                                  2022         1,396        1,366         30      2.1
CN2001900000000   20     019   Chautauqua County, KS                             2022         1,424        1,384         40      2.8
CN2002100000000   20     021   Cherokee County, KS                               2022         9,905        9,650        255      2.6
CN2002300000000   20     023   Cheyenne County, KS                               2022         1,259        1,229         30      2.4
CN2002500000000   20     025   Clark County, KS                                  2022         1,109        1,088         21      1.9
CN2002700000000   20     027   Clay County, KS                                   2022         3,735        3,639         96      2.6
CN2002900000000   20     029   Cloud County, KS                                  2022         3,810        3,709        101      2.7
CN2003100000000   20     031   Coffey County, KS                                 2022         3,792        3,663        129      3.4
CN2003300000000   20     033   Comanche County, KS                               2022           868          849         19      2.2
CN2003500000000   20     035   Cowley County, KS                                 2022        16,415       15,935        480      2.9
CN2003700000000   20     037   Crawford County, KS                               2022        19,116       18,569        547      2.9
CN2003900000000   20     039   Decatur County, KS                                2022         1,189        1,156         33      2.8
CN2004100000000   20     041   Dickinson County, KS                              2022         8,669        8,431        238      2.7
CN2004300000000   20     043   Doniphan County, KS                               2022         4,023        3,921        102      2.5
CN2004500000000   20     045   Douglas County, KS                                2022        65,477       63,789      1,688      2.6
CN2004700000000   20     047   Edwards County, KS                                2022         1,390        1,359         31      2.2
CN2004900000000   20     049   Elk County, KS                                    2022         1,176        1,145         31      2.6
CN2005100000000   20     051   Ellis County, KS                                  2022        17,065       16,733        332      1.9
CN2005300000000   20     053   Ellsworth County, KS                              2022         2,630        2,570         60      2.3
CN2005500000000   20     055   Finney County, KS                                 2022        20,521       20,102        419      2.0
CN2005700000000   20     057   Ford County, KS                                   2022        17,849       17,482        367      2.1
CN2005900000000   20     059   Franklin County, KS                               2022        14,824       14,465        359      2.4
CN2006100000000   20     061   Geary County, KS                                  2022        11,342       10,921        421      3.7
CN2006300000000   20     063   Gove County, KS                                   2022         1,370        1,341         29      2.1
CN2006500000000   20     065   Graham County, KS                                 2022         1,191        1,164         27      2.3
CN2006700000000   20     067   Grant County, KS                                  2022         2,806        2,726         80      2.9
CN2006900000000   20     069   Gray County, KS                                   2022         3,174        3,113         61      1.9
CN2007100000000   20     071   Greeley County, KS                                2022           789          777         12      1.5
CN2007300000000   20     073   Greenwood County, KS                              2022         3,040        2,968         72      2.4
CN2007500000000   20     075   Hamilton County, KS                               2022         1,630        1,603         27      1.7
CN2007700000000   20     077   Harper County, KS                                 2022         2,782        2,724         58      2.1
CN2007900000000   20     079   Harvey County, KS                                 2022        17,066       16,638        428      2.5
CN2008100000000   20     081   Haskell County, KS                                2022         2,167        2,126         41      1.9
CN2008300000000   20     083   Hodgeman County, KS                               2022         1,021        1,000         21      2.1
CN2008500000000   20     085   Jackson County, KS                                2022         7,280        7,111        169      2.3
CN2008700000000   20     087   Jefferson County, KS                              2022        10,373       10,098        275      2.7
CN2008900000000   20     089   Jewell County, KS                                 2022         1,194        1,164         30      2.5
CN2009100000000   20     091   Johnson County, KS                                2022       349,354      341,423      7,931      2.3
CN2009300000000   20     093   Kearny County, KS                                 2022         2,004        1,966         38      1.9
CN2009500000000   20     095   Kingman County, KS                                2022         3,267        3,188         79      2.4
CN2009700000000   20     097   Kiowa County, KS                                  2022         1,207        1,181         26      2.2
CN2009900000000   20     099   Labette County, KS                                2022         9,441        9,157        284      3.0
CN2010100000000   20     101   Lane County, KS                                   2022           725          704         21      2.9
CN2010300000000   20     103   Leavenworth County, KS                            2022        37,437       36,362      1,075      2.9
CN2010500000000   20     105   Lincoln County, KS                                2022         1,683        1,644         39      2.3
CN2010700000000   20     107   Linn County, KS                                   2022         4,370        4,201        169      3.9
CN2010900000000   20     109   Logan County, KS                                  2022         1,624        1,595         29      1.8
CN2011100000000   20     111   Lyon County, KS                                   2022        17,072       16,647        425      2.5
CN2011300000000   20     113   McPherson County, KS                              2022        17,407       17,078        329      1.9
CN2011500000000   20     115   Marion County, KS                                 2022         5,978        5,835        143      2.4
CN2011700000000   20     117   Marshall County, KS                               2022         5,330        5,226        104      2.0
CN2011900000000   20     119   Meade County, KS                                  2022         2,123        2,083         40      1.9
CN2012100000000   20     121   Miami County, KS                                  2022        18,029       17,574        455      2.5
CN2012300000000   20     123   Mitchell County, KS                               2022         3,358        3,293         65      1.9
CN2012500000000   20     125   Montgomery County, KS                             2022        14,585       14,141        444      3.0
CN2012700000000   20     127   Morris County, KS                                 2022         3,007        2,938         69      2.3
CN2012900000000   20     129   Morton County, KS                                 2022         1,130        1,101         29      2.6
CN2013100000000   20     131   Nemaha County, KS                                 2022         5,625        5,523        102      1.8
CN2013300000000   20     133   Neosho County, KS                                 2022         6,070        5,855        215      3.5
CN2013500000000   20     135   Ness County, KS                                   2022         1,324        1,296         28      2.1
CN2013700000000   20     137   Norton County, KS                                 2022         2,613        2,564         49      1.9
CN2013900000000   20     139   Osage County, KS                                  2022         8,025        7,803        222      2.8
CN2014100000000   20     141   Osborne County, KS                                2022         1,899        1,860         39      2.1
CN2014300000000   20     143   Ottawa County, KS                                 2022         3,009        2,934         75      2.5
CN2014500000000   20     145   Pawnee County, KS                                 2022         2,712        2,648         64      2.4
CN2014700000000   20     147   Phillips County, KS                               2022         2,644        2,585         59      2.2
CN2014900000000   20     149   Pottawatomie County, KS                           2022        12,484       12,186        298      2.4
CN2015100000000   20     151   Pratt County, KS                                  2022         4,888        4,785        103      2.1
CN2015300000000   20     153   Rawlins County, KS                                2022         1,530        1,502         28      1.8
CN2015500000000   20     155   Reno County, KS                                   2022        29,161       28,347        814      2.8
CN2015700000000   20     157   Republic County, KS                               2022         2,385        2,335         50      2.1
CN2015900000000   20     159   Rice County, KS                                   2022         5,444        5,322        122      2.2
CN2016100000000   20     161   Riley County, KS                                  2022        34,527       33,610        917      2.7
CN2016300000000   20     163   Rooks County, KS                                  2022         2,407        2,346         61      2.5
CN2016500000000   20     165   Rush County, KS                                   2022         1,616        1,581         35      2.2
CN2016700000000   20     167   Russell County, KS                                2022         3,295        3,221         74      2.2
CN2016900000000   20     169   Saline County, KS                                 2022        30,133       29,412        721      2.4
CN2017100000000   20     171   Scott County, KS                                  2022         2,740        2,690         50      1.8
CN2017300000000   20     173   Sedgwick County, KS                               2022       255,008      247,091      7,917      3.1
CN2017500000000   20     175   Seward County, KS                                 2022         9,805        9,558        247      2.5
CN2017700000000   20     177   Shawnee County, KS                                2022        91,821       89,329      2,492      2.7
CN2017900000000   20     179   Sheridan County, KS                               2022         1,448        1,421         27      1.9
CN2018100000000   20     181   Sherman County, KS                                2022         2,784        2,721         63      2.3
CN2018300000000   20     183   Smith County, KS                                  2022         1,960        1,921         39      2.0
CN2018500000000   20     185   Stafford County, KS                               2022         1,921        1,876         45      2.3
CN2018700000000   20     187   Stanton County, KS                                2022         1,088        1,067         21      1.9
CN2018900000000   20     189   Stevens County, KS                                2022         2,949        2,892         57      1.9
CN2019100000000   20     191   Sumner County, KS                                 2022        10,742       10,425        317      3.0
CN2019300000000   20     193   Thomas County, KS                                 2022         4,234        4,154         80      1.9
CN2019500000000   20     195   Trego County, KS                                  2022         1,364        1,331         33      2.4
CN2019700000000   20     197   Wabaunsee County, KS                              2022         3,733        3,642         91      2.4
CN2019900000000   20     199   Wallace County, KS                                2022           850          833         17      2.0
CN2020100000000   20     201   Washington County, KS                             2022         3,002        2,944         58      1.9
CN2020300000000   20     203   Wichita County, KS                                2022         1,120        1,098         22      2.0
CN2020500000000   20     205   Wilson County, KS                                 2022         3,729        3,613        116      3.1
CN2020700000000   20     207   Woodson County, KS                                2022         1,523        1,470         53      3.5
CN2020900000000   20     209   Wyandotte County, KS                              2022        78,170       75,480      2,690      3.4
CN2100100000000   21     001   Adair County, KY                                  2022         7,139        6,802        337      4.7
CN2100300000000   21     003   Allen County, KY                                  2022         8,878        8,522        356      4.0
CN2100500000000   21     005   Anderson County, KY                               2022        11,905       11,517        388      3.3
CN2100700000000   21     007   Ballard County, KY                                2022         3,464        3,291        173      5.0
CN2100900000000   21     009   Barren County, KY                                 2022        17,796       17,047        749      4.2
CN2101100000000   21     011   Bath County, KY                                   2022         4,701        4,450        251      5.3
CN2101300000000   21     013   Bell County, KY                                   2022         8,074        7,653        421      5.2
CN2101500000000   21     015   Boone County, KY                                  2022        71,775       69,447      2,328      3.2
CN2101700000000   21     017   Bourbon County, KY                                2022         9,546        9,202        344      3.6
CN2101900000000   21     019   Boyd County, KY                                   2022        17,134       16,232        902      5.3
CN2102100000000   21     021   Boyle County, KY                                  2022        12,664       12,150        514      4.1
CN2102300000000   21     023   Bracken County, KY                                2022         3,768        3,603        165      4.4
CN2102500000000   21     025   Breathitt County, KY                              2022         3,180        2,940        240      7.5
CN2102700000000   21     027   Breckinridge County, KY                           2022         7,896        7,523        373      4.7
CN2102900000000   21     029   Bullitt County, KY                                2022        42,782       40,998      1,784      4.2
CN2103100000000   21     031   Butler County, KY                                 2022         4,947        4,738        209      4.2
CN2103300000000   21     033   Caldwell County, KY                               2022         5,974        5,762        212      3.5
CN2103500000000   21     035   Calloway County, KY                               2022        17,340       16,633        707      4.1
CN2103700000000   21     037   Campbell County, KY                               2022        50,439       48,704      1,735      3.4
CN2103900000000   21     039   Carlisle County, KY                               2022         2,248        2,162         86      3.8
CN2104100000000   21     041   Carroll County, KY                                2022         5,629        5,445        184      3.3
CN2104300000000   21     043   Carter County, KY                                 2022         9,617        8,919        698      7.3
CN2104500000000   21     045   Casey County, KY                                  2022         6,623        6,365        258      3.9
CN2104700000000   21     047   Christian County, KY                              2022        24,674       23,451      1,223      5.0
CN2104900000000   21     049   Clark County, KY                                  2022        17,156       16,527        629      3.7
CN2105100000000   21     051   Clay County, KY                                   2022         5,034        4,742        292      5.8
CN2105300000000   21     053   Clinton County, KY                                2022         3,611        3,432        179      5.0
CN2105500000000   21     055   Crittenden County, KY                             2022         3,800        3,638        162      4.3
CN2105700000000   21     057   Cumberland County, KY                             2022         3,362        3,252        110      3.3
CN2105900000000   21     059   Daviess County, KY                                2022        45,401       43,578      1,823      4.0
CN2106100000000   21     061   Edmonson County, KY                               2022         4,695        4,461        234      5.0
CN2106300000000   21     063   Elliott County, KY                                2022         1,875        1,719        156      8.3
CN2106500000000   21     065   Estill County, KY                                 2022         5,148        4,890        258      5.0
CN2106700000000   21     067   Fayette County, KY                                2022       174,535      168,997      5,538      3.2
CN2106900000000   21     069   Fleming County, KY                                2022         5,993        5,718        275      4.6
CN2107100000000   21     071   Floyd County, KY                                  2022        10,824       10,175        649      6.0
CN2107300000000   21     073   Franklin County, KY                               2022        24,961       24,096        865      3.5
CN2107500000000   21     075   Fulton County, KY                                 2022         2,108        2,011         97      4.6
CN2107700000000   21     077   Gallatin County, KY                               2022         3,986        3,838        148      3.7
CN2107900000000   21     079   Garrard County, KY                                2022         7,806        7,497        309      4.0
CN2108100000000   21     081   Grant County, KY                                  2022        11,639       11,185        454      3.9
CN2108300000000   21     083   Graves County, KY                                 2022        15,417       14,695        722      4.7
CN2108500000000   21     085   Grayson County, KY                                2022        10,366        9,878        488      4.7
CN2108700000000   21     087   Green County, KY                                  2022         5,052        4,861        191      3.8
CN2108900000000   21     089   Greenup County, KY                                2022        12,901       12,132        769      6.0
CN2109100000000   21     091   Hancock County, KY                                2022         3,787        3,621        166      4.4
CN2109300000000   21     093   Hardin County, KY                                 2022        46,808       44,821      1,987      4.2
CN2109500000000   21     095   Harlan County, KY                                 2022         6,306        5,897        409      6.5
CN2109700000000   21     097   Harrison County, KY                               2022         8,766        8,470        296      3.4
CN2109900000000   21     099   Hart County, KY                                   2022         7,608        7,299        309      4.1
CN2110100000000   21     101   Henderson County, KY                              2022        20,479       19,676        803      3.9
CN2110300000000   21     103   Henry County, KY                                  2022         8,089        7,790        299      3.7
